1624415,Tekung,ID,113.279602,-8.1736
1624462,Tegalpanjang,ID,107.140404,-7.273
1624470,Tegallega,ID,107.222397,-7.0463
1624481,Tegalbuleud,ID,106.745102,-7.4259
1624490,Tegalalang,ID,115.279198,-8.4366
1624496,Tegal,ID,105.897202,-6.4046
1624555,Tawun,ID,111.737801,-6.9148
1624679,Tarogong,ID,107.887398,-7.1902
1624727,Taraju,ID,107.981201,-7.458
1624785,Tapalang,ID,118.867203,-2.8637
1624873,Tanjungpati,ID,100.67997,-0.16046
1624894,Tanjungluar,ID,116.5177,-8.7752
1624909,Tanjungkerta,ID,108.676697,-7.0702
1624930,Tanjunggadang,ID,100.738403,-0.30126
1624997,Tanjung,ID,116.156502,-8.356
1625027,Taniwel,ID,128.472961,-2.85344
1625070,Tanggul,ID,113.452499,-8.1645
1625073,Tanggeung,ID,107.123596,-7.2677
1625321,Tambaksari,ID,108.535004,-7.2489
1625324,Krajan Tambakrejo,ID,112.7145,-8.4028
1625386,Talun,ID,112.285004,-8.0906
1625411,Talok,ID,112.701111,-8.18669
1625420,Taliwang,ID,116.853203,-8.7449
1625439,Talawi,ID,100.739792,-0.59745
1625532,Takokak,ID,107.003601,-7.0513
1625559,Tajinan,ID,112.682404,-8.0497
1625609,Tagolu,ID,120.773102,-1.4393
1625659,Taccipi,ID,120.184196,-4.5066
1625693,Tabing,ID,100.342789,-0.87203
1625749,Suwaru,ID,112.608597,-8.2122
1625762,Banjar Susut Kaja,ID,115.330101,-8.4368
1625776,Lasusua,ID,120.884399,-3.5105
1625784,Suruhwadang,ID,112.104897,-8.1985
1625797,Surian,ID,100.881287,-1.25587
1625804,Kubangkepuh,ID,106.028397,-5.8994
1625816,Surade,ID,106.5616,-7.342
1625956,Sungailimau,ID,100.061707,-0.51638
1626062,Sumurbatu,ID,105.850502,-6.7874
1626128,Sumberrojokrajan,ID,112.622704,-8.2441
1626140,Krajansumbermujur,ID,113.021896,-8.1375
1626142,Sumbermanjing Wetan,ID,112.689598,-8.2807
1626143,Sumbermanjing Kulon,ID,112.494797,-8.3013
1626153,Sumberkalong,ID,113.791397,-8.0846
1626154,Sumberjati,ID,113.879898,-8.1873
1626155,Sumberjambe,ID,113.9002,-8.0699
1626173,Sumberbaru,ID,113.388702,-8.1177
1626175,Sumberanyar,ID,114.299698,-7.7824
1626182,Sumber,ID,111.257202,-6.7978
1626219,Sulitair,ID,100.647881,-0.61258
1626235,Sulang Tengah,ID,111.3806,-6.8065
1626248,Sukowono,ID,113.834198,-8.0576
1626273,Sukodono,ID,113.232201,-8.1046
1626280,Sukawening,ID,108.0065,-7.1568
1626289,Sukasari,ID,107.894699,-7.0757
1626294,Sukasada,ID,115.103104,-8.1395
1626313,Sukaraja,ID,108.194397,-7.4519
1626314,Cibatu,ID,108.053299,-7.3102
1626320,Sukaraja,ID,106.312401,-6.536
1626334,Sukanagara,ID,107.130898,-7.098
1626375,Sukadana,ID,105.548691,-5.06446
1626418,Sudimoro,ID,111.375099,-8.2197
1626443,Subang,ID,108.528297,-7.1277
1626611,Sondo,ID,118.665001,-8.7455
1626631,Somba,ID,118.847504,-3.3772
1626711,Sodong Hilir,ID,108.051399,-7.4894
1626746,Sluke,ID,111.499458,-6.63252
1626748,Selorok,ID,112.525902,-8.1438
1626759,Slahung,ID,111.413902,-8.0349
1626782,Siwa,ID,120.415604,-3.6999
1626808,Sitiarjo,ID,112.681099,-8.3793
1626920,Singkarak,ID,100.603348,-0.69089
1626939,Singajaya,ID,107.911598,-7.4886
1626969,Sindangjaya,ID,108.661598,-7.4815
1626971,Sindangheula,ID,108.8106,-7.0879
1626973,Sindangbarang,ID,107.142403,-7.4535
1626974,Sindanghayu,ID,108.635597,-7.4716
1626995,Simu,ID,117.689796,-8.6686
1627028,Simpang,ID,107.216599,-7.3682
1627029,Simpang,ID,106.457603,-7.3418
1627030,Simpang,ID,107.003304,-7.1406
1627107,Silo,ID,113.853638,-8.21667
1627148,Sila,ID,118.620003,-8.5025
1627184,Sikka,ID,122.196098,-8.7494
1627401,Seteluk,ID,116.866737,-8.62549
1627504,Seredang,ID,106.265297,-6.8043
1627546,Serang,ID,112.240196,-8.3077
1627587,Sepit,ID,116.460701,-8.7418
1627622,Sepanjang,ID,114.0513,-8.3014
1627625,Sepang,ID,114.917099,-8.3089
1627649,Sentul,ID,108.737602,-7.5591
1627651,Sentul,ID,112.430344,-6.88154
1627672,Senori,ID,111.724403,-7.0157
1627673,Senori,ID,111.9589,-6.8709
1627732,Senduro,ID,113.089104,-8.0936
1627787,Sempu,ID,114.152,-8.3184
1627794,Sempol,ID,114.148903,-8.0075
1627816,Semongkat,ID,117.319298,-8.5721
1627826,Semiring,ID,114.022202,-7.63
1627858,Semboro Lor,ID,113.444504,-8.1901
1627873,Sembalunlawang,ID,116.533897,-8.3635
1627874,Sembalunbumbung,ID,116.544701,-8.3852
1627877,Sembakung,ID,117.25,3.81667
1627908,Semanggi,ID,111.428101,-7.0591
1627915,Semamung,ID,117.428802,-8.6515
1627953,Selorejo,ID,112.425697,-8.1392
1627956,Selopuro,ID,112.308601,-8.1449
1627957,Selong,ID,116.531799,-8.6503
1627965,Selokambang,ID,113.166199,-8.1428
1628004,Selebung,ID,116.482002,-8.7651
1628057,Selamanjah,ID,106.8395,-7.3167
1628058,Salakuray,ID,107.864304,-7.2564
1628064,Selasari,ID,108.5205,-7.6203
1628068,Selajambe,ID,108.462502,-7.1181
1628079,Selacai,ID,108.382896,-7.2156
1628086,Selaawi,ID,107.478462,-7.31947
1628152,Sekapuk,ID,112.505501,-6.9542
